Day,Sold Units,Restocked Units,Available Units
0,0,2000,2000
1,33,0,1967
2,4,0,1963
3,24,0,1939
4,5,0,1934
5,183,0,1751
6,13,0,1738
7,0,262,2000
8,175,0,1825
9,157,0,1668
10,4,0,1664
11,138,0,1526
12,70,0,1456
13,147,0,1309
14,0,691,2000
15,60,0,1940
16,89,0,1851
17,109,0,1742
18,17,0,1725
19,45,0,1680
20,107,0,1573
21,0,427,2000
22,107,0,1893
23,0,0,1893
24,2,0,1891
25,99,0,1792
26,100,0,1692
27,68,0,1624
28,0,376,2000
29,176,0,1824
30,186,0,1638
31,33,0,1605
32,147,0,1458
33,30,0,1428
34,168,0,1260
35,0,740,2000
36,32,0,1968
37,126,0,1842
38,88,0,1754
39,154,0,1600
40,82,0,1518
41,165,0,1353
42,0,647,2000
43,126,0,1874
44,179,0,1695
45,193,0,1502
46,169,0,1333
47,79,0,1254
48,5,0,1249
49,0,751,2000
